City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1,Katsuura,JP,82.92,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
2,Jamestown,US,62.71,fog,42.097,-79.2353,Hampton Inn & Suites Jamestown
10,Faanui,PF,79.11,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Zbarazh,UA,69.73,overcast clouds,49.6636,25.7762,Edelʹveys
12,Arraial Do Cabo,BR,66.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
13,Labuhan,ID,82.89,broken clouds,-6.8844,112.2051,DoubleFAG
14,Saraland,US,76.05,scattered clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
16,Lompoc,US,66.34,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
17,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
18,Kismayo,SO,80.19,light rain,-0.3582,42.5454,Agan-Hotel
21,Santa Cruz Cabralia,BR,71.83,mist,-16.2781,-39.0247,Puerto Princesa Inn
24,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
25,Palmer,US,64.92,clear sky,42.1584,-72.3287,Wedgewood Motel
26,Lafiagi,NG,78.49,overcast clouds,8.8667,5.4167,Bus group international
27,Sinnamary,GF,77.49,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
29,Atuona,PF,76.15,light rain,-9.8,-139.0333,Villa Enata
31,Lazaro Cardenas,MX,77.0,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
32,Rikitea,PF,72.19,light rain,-23.1203,-134.9692,People ThankYou
33,Rochester,US,64.11,clear sky,43.1548,-77.6156,Hyatt Regency Rochester
35,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
37,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
39,Hilo,US,74.93,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
45,Hualmay,PE,60.49,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
46,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
47,Yulara,AU,62.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
49,Kailua,US,80.58,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
51,Havre,FR,69.21,mist,49.5833,0.3333,gite bois jourdain
55,Sambava,MG,74.95,scattered clouds,-14.2667,50.1667,Melrose
57,Touros,BR,75.22,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
58,Butaritari,KI,81.72,broken clouds,3.0707,172.7902,Isles Sunset Lodge
59,Torbay,CA,63.57,broken clouds,47.6666,-52.7314,Gallows Cove
60,Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Baturaja,ID,86.68,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
65,San Patricio,US,85.89,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
66,Tokuyama,JP,87.42,moderate rain,34.05,131.8167,Toyoko INN Tokuyama eki Shinkansenguchi
67,Poykovskiy,RU,66.49,clear sky,61.2333,73.3333,Center hotel
68,Mogoytuy,RU,78.73,broken clouds,51.2833,114.9167,Gostinitsa
70,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
72,Carnarvon,AU,71.31,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
75,Taikang,CN,84.67,clear sky,46.8333,124.4167,Jia Hotel
76,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
77,Isangel,VU,72.66,overcast clouds,-19.55,169.2667,Tanna Lodge
79,Hithadhoo,MV,78.03,heavy intensity rain,-0.6,73.0833,Scoop Guest House
81,Batticaloa,LK,86.41,overcast clouds,7.7102,81.6924,Grand Star Guest House
83,Lagoa,PT,72.14,clear sky,39.05,-27.9833,Casa Das Faias
84,Diffa,NE,83.39,broken clouds,13.3154,12.6113,ProDAF/Diffa
85,Pouebo,NC,70.81,overcast clouds,-20.4,164.5667,RIVÂT LODGE
88,Boa Vista,BR,75.18,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
90,Porto Velho,BR,71.65,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
91,Hambantota,LK,86.34,light rain,6.1241,81.1185,Bungalow 63
92,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
93,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
94,Sarangani,PH,82.09,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
96,Tahoua,NE,80.58,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
99,Balikpapan,ID,79.79,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
100,Cherskiy,RU,64.81,clear sky,68.75,161.3,Gostinitsa
102,Acapulco,MX,78.96,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
103,Pital,CO,65.53,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
104,Alyangula,AU,72.5,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
105,Lata,PT,85.5,clear sky,40.1629,-8.3327,Casa Maquia
107,Curup,ID,75.52,broken clouds,-3.4667,102.5333,Ayi The Costel
108,Namibe,AO,65.86,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
112,Soria,ES,77.52,clear sky,41.6667,-2.6667,Casa Rural Sierra de Inodejo
114,Omboue,GA,78.71,broken clouds,-1.5746,9.2618,Hotel Olako
115,Kurchum,KZ,84.7,overcast clouds,48.5722,83.6542,"""Kneda"" Hotel"
117,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
120,Saint Anthony,US,68.79,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
123,Excelsior Springs,US,72.3,mist,39.3392,-94.2261,The Elms Hotel & Spa
124,Fort Nelson,CA,62.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
125,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
128,Dorogobuzh,RU,71.37,overcast clouds,54.915,33.2972,"Gostevoi dom ""BRAVO"""
133,Guanica,PR,82.06,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
134,Marang,MY,87.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
135,Nkhotakota,MW,76.23,clear sky,-12.9274,34.2961,Sitima Inn
139,Kirakira,SB,78.8,broken clouds,-10.4544,161.9205,SanBiz Lodge
140,Northam,GB,66.38,overcast clouds,51.0333,-4.2167,Durrant House Hotel
141,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
144,Nizhniy Kuranakh,RU,82.29,broken clouds,58.8353,125.4869,Park Pobedy
147,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
148,The Valley,AI,82.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
153,Gusinoye Ozero,RU,66.88,light rain,51.1144,106.2614,Gusi-Lebedi Baza Otdykha
154,Sao Joao Da Barra,BR,60.42,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
155,Ocos,GT,79.39,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
156,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
157,Nishihara,JP,80.65,heavy intensity shower rain,26.1842,127.7558,Minshuku Agaihama
158,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le four à pain
159,Margate,GB,72.88,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
160,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
163,Fairbanks,US,64.36,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
167,Nikolskoye,RU,64.87,scattered clouds,59.7035,30.7861,Tourist House - Sablino
168,Cockburn Town,TC,81.7,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
169,Ornskoldsvik,SE,67.15,scattered clouds,63.2909,18.7153,ファーストホテル スタット
171,Bilibino,RU,61.11,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
172,Natal,BR,73.62,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
175,Mahonda,TZ,77.11,few clouds,-6.45,39.4667,Karamba Resort
176,Boppard,DE,80.02,overcast clouds,50.2308,7.5899,Zur Krone
178,Sorong,ID,82.06,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
180,Grand-Santi,GF,70.27,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
181,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
183,Kyzyl-Suu,KG,69.69,scattered clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
185,Guerrero Negro,MX,69.89,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
186,Sao Felix Do Xingu,BR,69.24,few clouds,-6.6447,-51.995,Rio Xingu Camping
187,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
189,Ojinaga,MX,85.41,scattered clouds,29.5667,-104.4167,Suites Las Palmas
192,Bengkulu,ID,83.14,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
193,San Policarpo,PH,84.54,light rain,12.1791,125.5072,Agapita M. Nicart
194,Carolina,PR,82.76,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
195,Caravelas,BR,70.16,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
197,Macaubas,BR,62.83,clear sky,-13.0194,-42.6986,Hotel Portal
201,Cabo San Lucas,MX,84.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
202,Dingle,PH,82.26,light rain,10.9995,122.6711,SEGAYA PROPERTY
205,Rangapara,IN,77.58,overcast clouds,26.8167,92.65,Bidhan
206,Lahaina,US,78.8,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
207,Jacareacanga,BR,70.61,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
208,Khandyga,RU,80.56,broken clouds,62.6667,135.6,Apel'sin
210,Barinas,VE,84.24,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
211,Manaure,CO,79.59,few clouds,11.7751,-72.4445,Hotel Palaaima
212,Bolton,GB,64.8,overcast clouds,53.5833,-2.4333,"Holiday Inn Bolton Centre, an IHG Hotel"
213,Cacoal,BR,64.94,clear sky,-11.4386,-61.4472,Hotel BR 364
214,Brooks,CA,62.58,few clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
215,Markova,UA,66.04,overcast clouds,48.6758,24.4138,Vas.VOM
216,Pizarro,CO,76.42,light rain,4.9533,-77.366,Hotel Limonar
217,Fukue,JP,82.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
218,Jumla,NP,66.45,overcast clouds,29.2747,82.1838,Royal Garden Hotel
219,Vytegra,RU,65.01,broken clouds,61.0064,36.4481,Wardenclyffe Volgo&Balt
221,Yining,CN,88.12,broken clouds,29.0361,114.5636,Xiushui Hotel
223,Fagernes,NO,67.5,light rain,60.9858,9.2324,Scandic Valdres
224,Nouadhibou,MR,73.38,few clouds,20.931,-17.0347,El Medina
225,Salvador,SV,68.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
228,Atar,MR,84.79,clear sky,20.5169,-13.0499,Oumou Elghoura
231,Halmstad,SE,71.02,scattered clouds,56.6745,12.8568,BEST WESTERN PLUS Grand Hotel
232,Liverpool,GB,65.14,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
235,Alice Springs,AU,67.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
236,Tabuk,PH,85.12,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
238,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
239,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
241,Hervey Bay,AU,63.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
243,Hamilton,US,68.94,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
245,Antalaha,MG,75.56,broken clouds,-14.9003,50.2788,Hotel Vitasoa
246,Bethel,US,65.62,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
247,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
248,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
250,Darbhanga,IN,85.32,overcast clouds,26.1667,85.9,Arvind and Agarwal Hotel
251,Scarborough,GB,60.93,light rain,54.2797,-0.4044,The Grand Hotel Scarborough
252,Nyaunglebin,MM,83.55,overcast clouds,17.95,96.7333,Thi ha
254,Antiguo Morelos,MX,74.1,clear sky,22.5495,-99.0812,Iglesia La luz del mundo columna y apoyo de la verdad. Batallón antiguo morelos
255,Niquelandia,BR,64.0,scattered clouds,-14.4739,-48.4597,Hotel Suinã
256,Namatanai,PG,80.47,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
257,Laguna,US,73.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
258,Qui Nhon,VN,84.31,overcast clouds,13.7667,109.2333,Seagull Hotel
259,Hastings,GB,73.98,overcast clouds,50.8552,0.5729,Zanzibar Hotel
260,Sola,VU,80.15,overcast clouds,-13.8833,167.55,Leumerus Bungalows
261,Bassano,CA,63.09,scattered clouds,50.7834,-112.4685,Imperial Hunter Hotel
262,Georgetown,MY,89.53,thunderstorm,5.4112,100.3354,Cititel Penang
263,Ternate,ID,82.54,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
264,Podor,MR,76.95,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
266,Lasa,IT,68.36,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
267,Kavaratti,IN,81.01,overcast clouds,10.5669,72.642,Green leaf
268,Ndjole,GA,81.88,broken clouds,-0.1783,10.7649,Motel Kédyann
277,Bandundu,CD,86.05,clear sky,-3.3167,17.3667,Coja Color
278,Karratha,AU,76.14,clear sky,-20.7377,116.8463,ibis Styles Karratha
279,Mlonggo,ID,83.79,broken clouds,-6.5333,110.7,Asia Metal Art
280,Khani,GE,72.97,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
283,Sabang,ID,82.6,overcast clouds,5.8933,95.3214,Hotel Citra
285,Bandarbeyla,SO,89.35,few clouds,9.4942,50.8122,JABIR HOTEL
286,Chernyshevskiy,RU,77.27,few clouds,63.0128,112.4714,Chernyseyskiy
289,Smithers,CA,66.52,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
290,Half Moon Bay,US,65.05,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
291,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
292,Asau,RO,67.28,light rain,46.4333,26.4,Casa Mika Ciobanus
293,Kampong Cham,KH,89.96,overcast clouds,11.9934,105.4635,7 Makara Hotel
294,Leshukonskoye,RU,76.75,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
295,Anloga,GH,76.8,overcast clouds,5.7947,0.8973,Pin Drop Hotel
297,Yenagoa,NG,79.29,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
300,Manzhouli,CN,77.54,broken clouds,49.6,117.4333,Angala International Youth Hostel
301,Billings,US,74.97,clear sky,45.7833,-108.5007,Best Western Plus Clocktower Inn
302,San Juan Evangelista,MX,71.6,broken clouds,17.9,-95.1333,Salon INAPAM San Juan Evangelista
303,Banda Aceh,ID,85.82,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
304,Meiringen,CH,76.01,clear sky,46.7268,8.184,Das Hotel Sherlock Holmes
305,Bourail,NC,65.37,broken clouds,-21.5667,165.4833,Motel Allamanda
306,Nelson Bay,AU,61.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
307,Fare,PF,79.03,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
309,Luanda,AO,71.74,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
314,Gaoual,GN,76.26,scattered clouds,11.75,-13.2,Hotel koliba
315,Plyussa,RU,70.21,few clouds,58.4308,29.3654,Service hotel
317,Zhangjiakou,CN,88.97,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
318,Westport,US,69.37,clear sky,41.1415,-73.3579,The Westport Inn
321,Celestun,MX,75.27,broken clouds,20.8667,-90.4,Posada Lilia
322,Dali,CN,63.39,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
327,Puerto Asis,CO,68.99,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
330,Gannan,CN,83.97,clear sky,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
331,Itaituba,BR,70.39,scattered clouds,-4.2761,-55.9836,Hotel Campos
333,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
334,Port Hardy,CA,60.98,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
336,Seoul,KR,80.2,moderate rain,37.5683,126.9778,LOTTE HOTEL SEOUL
338,Bergen,NO,60.08,broken clouds,60.392,5.328,Clarion Collection Hotel Havnekontoret
339,Beysehir,TR,86.7,clear sky,37.6773,31.7246,Anatolia Boutique Hotel Penta
341,Bahia De Caraquez,EC,71.71,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
342,Leh,IN,68.25,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
344,Chapais,CA,60.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
346,Gladstone,AU,64.33,overcast clouds,-23.85,151.25,Highpoint International Hotel
347,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
351,Los Llanos De Aridane,ES,72.12,broken clouds,28.6585,-17.9182,Valle Aridane
353,Svetlogorsk,BY,75.96,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
354,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
355,Tautira,PF,77.09,light rain,-17.7333,-149.15,Pension Oaoa
356,Broome,US,60.06,clear sky,42.2506,-75.833,Chenango Valley State Park
358,Townsville,AU,68.88,overcast clouds,-19.25,146.8,Rydges Southbank Townsville
360,Kuusankoski,FI,66.72,scattered clouds,60.907,26.6244,Hotel Sommelo
361,Haverfordwest,GB,64.06,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
362,Socorro,US,84.49,overcast clouds,31.6546,-106.3033,guarderia imss papalote
363,Baft,IR,79.09,broken clouds,29.234,56.6057,Paeez Hotel & restaurant
364,Pacific Grove,US,60.82,broken clouds,36.6177,-121.9166,Lovers Point Inn
366,Ugoofaaru,MV,79.54,overcast clouds,5.6667,73.0,Ungoofaaru Inn
370,Hibbing,US,69.22,clear sky,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
371,Banjar,ID,79.39,broken clouds,-8.19,114.9675,The Hamsa Resort
372,Impfondo,CG,84.6,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
373,Ouahigouya,BF,83.73,overcast clouds,13.5828,-2.4216,Hotel Liberte
374,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
376,Caxias,PT,88.47,clear sky,38.7031,-9.2767,Amazónia Jamor Hotel
377,Suluova,TR,80.46,few clouds,40.8313,35.6479,GÜN APART
379,Whitehorse,CA,63.37,light intensity shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
380,Loikaw,MM,75.51,overcast clouds,19.6742,97.2094,Myat Nan Taw Hotel
381,Vao,NC,68.41,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
382,San Quintin,MX,68.32,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
384,Bundaberg,AU,62.22,overcast clouds,-24.85,152.35,Takalvan Motel
385,Tomatlan,MX,76.39,overcast clouds,19.9333,-105.25,El Salvial
386,Praia Da Vitoria,PT,74.75,few clouds,38.7333,-27.0667,Hotel Branco I
388,Dumas,US,71.53,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
392,Pangai,TO,77.65,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
393,Totskoye,RU,82.92,broken clouds,52.5248,52.7623,Gostinitsa
394,Loei,TH,79.97,overcast clouds,17.4167,101.5,Ban Aloi Resort
395,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
396,Xai-Xai,MZ,77.7,clear sky,-25.0519,33.6442,Complexo da Familia
397,Santa Cruz,BO,63.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
398,Neyshabur,IR,83.73,scattered clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
399,Muleba,TZ,71.26,light rain,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
400,Kamina,CD,84.83,scattered clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
401,Nago,JP,81.45,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
403,Srandakan,ID,78.87,broken clouds,-7.9386,110.2506,Puri Brata
407,Shelburne,CA,64.85,clear sky,44.0787,-80.2041,The Retreat at the Farm
410,Ocala,US,76.98,clear sky,29.1872,-82.1401,Shangri La Motel
411,Anaconda,US,62.64,clear sky,46.1285,-112.9423,Trade Wind Motel
412,Otradnoye,RU,67.03,scattered clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
413,Morondava,MG,78.44,clear sky,-20.2833,44.2833,La Case Bambou
418,Daru,PG,76.26,broken clouds,-9.0763,143.2092,Daru Lodge
420,Buloh Kasap,MY,87.73,moderate rain,2.5536,102.764,Teratak Ixora Segamat
421,Sayansk,RU,71.96,light rain,54.1088,102.1648,Yubileynaya
422,Sechura,PE,61.88,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
426,Wanlaweyn,SO,88.77,scattered clouds,2.6185,44.8938,GAASHAAN HOME
428,Meadow Lake,US,69.67,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
430,Buala,SB,80.64,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
433,Norsup,VU,78.13,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
435,Melilla,ES,82.78,broken clouds,35.2937,-2.9383,Hotel Anfora
437,Huarmey,PE,61.2,scattered clouds,-10.0681,-78.1522,Hotel Miramar
438,Uzhur,RU,75.45,light rain,55.3036,89.8339,"Gostinitsa ""Turist"""
439,Marstal,DK,67.91,overcast clouds,54.8562,10.5173,Aero Hotel
440,Indramayu,ID,82.45,few clouds,-6.3264,108.32,Grand Trisula Hotel
441,Vernon,CA,72.93,clear sky,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
